tp,sl,rr,floor,trades,win_rate,total_return_pct,expectancy_atr,profit_factor,pf_raw
0.5,0.5,1.0,0.35,1168,0.4666,-358.524,-0.4719,0.275,0.2750809147652262
0.5,0.5,1.0,0.4,1168,0.4666,-358.524,-0.4719,0.275,0.2750809147652262
0.5,0.5,1.0,0.45,1168,0.4666,-358.524,-0.4719,0.275,0.2750809147652262
0.5,0.5,1.0,0.5,1155,0.4693,-352.003,-0.4695,0.278,0.27764764825318244
0.5,0.5,1.0,0.55,225,0.52,-57.151,-0.333,0.338,0.33818474316202485
0.5,0.5,1.0,0.6,35,0.5429,-8.05,-0.2952,0.371,0.370756136166299
0.5,1.0,0.5,0.35,1948,0.6412,-562.743,-0.4148,0.356,0.3564820160020903
0.5,1.0,0.5,0.4,1948,0.6412,-562.743,-0.4148,0.356,0.3564820160020903
0.5,1.0,0.5,0.45,1948,0.6412,-562.743,-0.4148,0.356,0.3564820160020903
0.5,1.0,0.5,0.5,1948,0.6412,-562.743,-0.4148,0.356,0.3564820160020903
0.5,1.0,0.5,0.55,1948,0.6412,-562.743,-0.4148,0.356,0.3564820160020903
0.5,1.0,0.5,0.6,1948,0.6412,-562.743,-0.4148,0.356,0.3564820160020903
1.0,0.5,2.0,0.35,802,0.3242,-236.238,-0.4373,0.447,0.44738580317591986
1.0,0.5,2.0,0.4,159,0.3208,-47.719,-0.4054,0.439,0.4392203449245836
1.0,0.5,2.0,0.45,25,0.4,-4.504,-0.0475,0.624,0.6244744072058757
1.0,0.5,2.0,0.5,4,0.0,-3.198,-0.9121,,0.0
1.0,0.5,2.0,0.55,0,0.0,0.0,0.0,,
1.0,0.5,2.0,0.6,0,0.0,0.0,0.0,,
1.0,1.0,1.0,0.35,1378,0.4768,-403.004,-0.4268,0.544,0.5437281211701768
1.0,1.0,1.0,0.4,1378,0.4768,-403.004,-0.4268,0.544,0.5437281211701768
1.0,1.0,1.0,0.45,1378,0.4768,-403.004,-0.4268,0.544,0.5437281211701768
