symbol,tp_atr,sl_atr,conf_floor,trades,win_rate,profit_factor,expectancy_atr,total_return_percent
AAVEUSDT,1.5,1.0,0.36,2088,0.4143,0.7124901551105096,-0.2354,-584.8
AAVEUSDT,1.5,1.0,0.4,1910,0.4262,0.7302399531660377,-0.2159,-496.49
AAVEUSDT,1.5,1.0,0.44,677,0.4195,0.5440722513567099,-0.4438,-383.97
AAVEUSDT,1.5,1.0,0.48,181,0.4144,0.30788569469301946,-1.1907,-281.93
AAVEUSDT,1.5,1.0,0.52,50,0.4,0.22189550284296916,-2.0774,-157.15
AAVEUSDT,1.5,1.0,0.56,13,0.4615,0.24171688459325472,-6.6371,-102.05
AAVEUSDT,2.0,1.0,0.36,758,0.3734,0.6112288141965194,-0.3647,-374.01
AAVEUSDT,2.0,1.0,0.4,202,0.4208,0.4529580444132998,-0.8063,-213.32
AAVEUSDT,2.0,1.0,0.44,48,0.3958,0.28784299858333484,-1.8734,-129.0
AAVEUSDT,2.0,1.0,0.48,16,0.25,0.0723017600643678,-4.0998,-126.03
AAVEUSDT,2.0,1.0,0.52,8,0.25,0.06772985959457886,-4.6749,-73.6
AAVEUSDT,2.0,1.0,0.56,5,0.2,0.05051462548732889,-4.9181,-43.57
AAVEUSDT,2.0,1.5,0.36,1253,0.4389,0.8046591540161662,-0.2217,-302.9
AAVEUSDT,2.0,1.5,0.4,1157,0.4365,0.7828594553843848,-0.2452,-310.9
AAVEUSDT,2.0,1.5,0.44,655,0.4641,0.6856379588803351,-0.3528,-284.67
AAVEUSDT,2.0,1.5,0.48,195,0.4974,0.5394184188896417,-0.6499,-166.9
AAVEUSDT,2.0,1.5,0.52,51,0.5686,0.411411247687299,-1.0705,-79.67
AAVEUSDT,2.0,1.5,0.56,13,0.2308,0.05224310177740172,-5.6904,-130.4
AAVEUSDT,2.5,1.0,0.36,664,0.3539,0.7050524314098032,-0.3032,-261.95
AAVEUSDT,2.5,1.0,0.4,185,0.3784,0.46589956251990433,-0.8876,-216.41
AAVEUSDT,2.5,1.0,0.44,48,0.375,0.24827459451684727,-2.0548,-149.02
AAVEUSDT,2.5,1.0,0.48,16,0.25,0.07387577990182259,-4.1399,-125.82
AAVEUSDT,2.5,1.0,0.52,8,0.25,0.08624288458407668,-4.55,-72.14
AAVEUSDT,2.5,1.0,0.56,5,0.2,0.06445459719671481,-4.8182,-42.93
AAVEUSDT,3.0,1.0,0.36,25,0.36,0.2876300249730073,-1.3792,-62.82
AAVEUSDT,3.0,1.0,0.4,9,0.3333,0.15666261756023594,-3.8769,-61.2
AAVEUSDT,3.0,1.0,0.44,7,0.4286,0.21741925787131045,-2.7899,-36.03
AAVEUSDT,3.0,1.0,0.48,1,1.0,,3.3967,4.64
AAVEUSDT,3.0,1.5,0.36,180,0.4667,0.6667902745802559,-0.5624,-116.11
AAVEUSDT,3.0,1.5,0.4,66,0.3939,0.3632957811191408,-1.6261,-123.02
AAVEUSDT,3.0,1.5,0.44,23,0.4783,0.2948977337229837,-1.8958,-73.0
AAVEUSDT,3.0,1.5,0.48,9,0.3333,0.12414656489627153,-4.6168,-79.58
AAVEUSDT,3.0,1.5,0.52,5,0.4,0.12564605490972489,-4.2007,-36.86
AAVEUSDT,3.0,1.5,0.56,2,0.5,17.151366698536208,1.3033,3.21
AAVEUSDT,4.0,1.5,0.36,22,0.4091,0.3720842011565716,-1.11,-56.19
AAVEUSDT,4.0,1.5,0.4,7,0.4286,0.2728840838503191,-3.0445,-41.86
AAVEUSDT,4.0,1.5,0.44,3,0.6667,23.11893822145027,2.1095,8.89
AAVEUSDT,4.0,1.5,0.48,0,0.0,,0.0,0.0
ACEUSDT,1.5,1.0,0.36,1976,0.3922,0.6755221163385925,-0.2453,-940.88
ACEUSDT,1.5,1.0,0.4,1845,0.406,0.6917048118857397,-0.2252,-835.19
ACEUSDT,1.5,1.0,0.44,694,0.4193,0.6059036204032382,-0.3417,-561.96
ACEUSDT,1.5,1.0,0.48,244,0.4016,0.43863485172463335,-0.8591,-471.81
ACEUSDT,1.5,1.0,0.52,103,0.4466,0.47298589779864725,-1.0539,-233.92
ACEUSDT,1.5,1.0,0.56,45,0.4667,0.3278532724928645,-1.5048,-213.13
ACEUSDT,2.0,1.0,0.36,734,0.4183,0.7727508351226877,-0.1597,-316.1
ACEUSDT,2.0,1.0,0.4,232,0.4052,0.579094225838248,-0.5598,-297.25
ACEUSDT,2.0,1.0,0.44,86,0.407,0.4994719968149796,-1.4311,-223.4
ACEUSDT,2.0,1.0,0.48,40,0.375,0.38286556670059646,-2.1763,-183.03
ACEUSDT,2.0,1.0,0.52,18,0.5,0.628474766572622,-2.8853,-47.79
ACEUSDT,2.0,1.0,0.56,13,0.6154,0.7268650297447612,-5.1708,-26.51
ACEUSDT,2.0,1.5,0.36,1135,0.4581,0.8892465717772641,-0.1175,-224.08
ACEUSDT,2.0,1.5,0.4,1030,0.4748,0.920483159943368,-0.0702,-145.64
ACEUSDT,2.0,1.5,0.44,569,0.5132,0.8911513712985526,-0.0881,-125.17
ACEUSDT,2.0,1.5,0.48,186,0.457,0.5790840650531354,-0.6212,-273.01
ACEUSDT,2.0,1.5,0.52,69,0.4638,0.7470160893889589,-1.3772,-78.63
ACEUSDT,2.0,1.5,0.56,30,0.4333,0.5141554731977652,-2.0665,-91.01
ACEUSDT,2.5,1.0,0.36,637,0.3689,0.7560242355216069,-0.1891,-329.64
ACEUSDT,2.5,1.0,0.4,215,0.386,0.6150492892639926,-0.565,-263.15
ACEUSDT,2.5,1.0,0.44,81,0.3827,0.5479020873466326,-1.5042,-200.32
ACEUSDT,2.5,1.0,0.48,34,0.2941,0.33774185216549535,-2.6578,-197.67
ACEUSDT,2.5,1.0,0.52,17,0.4118,0.4405992027970335,-3.1984,-78.03
ACEUSDT,2.5,1.0,0.56,11,0.5455,0.5131473440831306,-6.1418,-47.13
ACEUSDT,3.0,1.0,0.36,37,0.4324,0.460150378745367,-1.5391,-86.25
ACEUSDT,3.0,1.0,0.4,20,0.2,0.1296974770482654,-3.0552,-137.71
ACEUSDT,3.0,1.0,0.44,11,0.2727,0.1439924014878992,-7.0131,-95.35
ACEUSDT,3.0,1.0,0.48,4,0.5,3.908751405715527,1.0889,9.89
ACEUSDT,3.0,1.0,0.52,4,0.5,6.958969492132374,1.3383,11.36
ACEUSDT,3.0,1.0,0.56,2,0.5,2.8794334622058337,1.3282,2.48
ACEUSDT,3.0,1.5,0.36,162,0.4815,0.7976535869263015,-0.7741,-105.79
ACEUSDT,3.0,1.5,0.4,68,0.5441,0.8419011303995733,-0.2431,-35.85
ACEUSDT,3.0,1.5,0.44,26,0.4231,0.3398380525502033,-2.0273,-144.85
ACEUSDT,3.0,1.5,0.48,15,0.3333,0.2601625490843833,-5.7804,-136.89
ACEUSDT,3.0,1.5,0.52,9,0.1111,0.045012119965571584,-15.3515,-207.68
ACEUSDT,3.0,1.5,0.56,3,0.3333,0.25932783223646505,-2.5708,-10.66
ACEUSDT,4.0,1.5,0.36,28,0.4286,0.3575731914298353,-2.9761,-146.38
ACEUSDT,4.0,1.5,0.4,14,0.3571,0.3031605739356215,-2.5588,-93.1
ACEUSDT,4.0,1.5,0.44,7,0.1429,0.08950452352140048,-13.657,-133.62
ACEUSDT,4.0,1.5,0.48,2,0.5,3.925633842231307,2.316,4.7
ACEUSDT,4.0,1.5,0.52,2,0.5,4.7809141431975375,2.3273,4.99
ACEUSDT,4.0,1.5,0.56,1,1.0,,2.2311,2.99
ADAUSDT,1.5,1.0,0.36,2081,0.4161,0.7126537605090282,-0.2431,-540.0
ADAUSDT,1.5,1.0,0.4,1941,0.4152,0.6946240843188763,-0.254,-535.51
ADAUSDT,1.5,1.0,0.44,671,0.4367,0.5631106421743016,-0.3969,-332.57
ADAUSDT,1.5,1.0,0.48,182,0.3681,0.2846831087140843,-0.9887,-236.37
ADAUSDT,1.5,1.0,0.52,53,0.4528,0.29147533456338065,-1.4757,-85.56
ADAUSDT,1.5,1.0,0.56,19,0.3684,0.09816563657100648,-3.4977,-74.98
ADAUSDT,2.0,1.0,0.36,840,0.3988,0.6781356115194291,-0.2796,-287.0
ADAUSDT,2.0,1.0,0.4,243,0.4239,0.42838082627371743,-0.6875,-235.66
ADAUSDT,2.0,1.0,0.44,58,0.3448,0.21647063610635894,-1.8186,-131.84
ADAUSDT,2.0,1.0,0.48,19,0.4737,0.3733391148922111,-2.136,-32.11
ADAUSDT,2.0,1.0,0.52,4,0.25,0.046583207497485825,-15.3793,-68.72
ADAUSDT,2.0,1.0,0.56,2,0.5,3.5217184331049816,0.6431,2.95
ADAUSDT,2.0,1.5,0.36,1231,0.4549,0.8204988008539958,-0.1927,-250.46
ADAUSDT,2.0,1.5,0.4,1148,0.4538,0.8095365343378714,-0.1963,-250.35
ADAUSDT,2.0,1.5,0.44,709,0.4824,0.7528651941369455,-0.2092,-206.41
ADAUSDT,2.0,1.5,0.48,228,0.5395,0.5835263445235327,-0.4683,-150.44
ADAUSDT,2.0,1.5,0.52,56,0.5893,0.6581338131173432,-0.6152,-36.28
ADAUSDT,2.0,1.5,0.56,13,0.5385,0.3482872450901134,-1.6508,-21.99
ADAUSDT,2.5,1.0,0.36,729,0.3663,0.7303032169831241,-0.2457,-227.84
ADAUSDT,2.5,1.0,0.4,230,0.3783,0.4200239483222849,-0.766,-261.64
ADAUSDT,2.5,1.0,0.44,56,0.3393,0.20758926094017574,-2.2933,-161.88
ADAUSDT,2.5,1.0,0.48,18,0.5,0.40682210517631046,-2.149,-30.3
ADAUSDT,2.5,1.0,0.52,4,0.0,0.0,-23.2737,-115.49
ADAUSDT,2.5,1.0,0.56,2,0.5,4.455583661991543,0.8928,4.04
ADAUSDT,3.0,1.0,0.36,21,0.4762,0.559155949368551,-1.226,-20.79
ADAUSDT,3.0,1.0,0.4,6,0.6667,0.8964235704410928,-1.0752,-1.43
ADAUSDT,3.0,1.0,0.44,3,0.6667,6.455764385972476,1.6462,7.07
ADAUSDT,3.0,1.0,0.48,1,0.0,0.0,-0.4155,-0.8
ADAUSDT,3.0,1.5,0.36,211,0.4597,0.6955445152263184,-0.4113,-112.07
ADAUSDT,3.0,1.5,0.4,74,0.473,0.5400143911817049,-0.9445,-75.7
ADAUSDT,3.0,1.5,0.44,14,0.7143,2.578973600054673,1.2651,17.95
ADAUSDT,3.0,1.5,0.48,6,0.6667,1.3912910354173649,0.4484,3.22
ADAUSDT,3.0,1.5,0.52,3,0.6667,15.32068849002335,1.7856,7.86
ADAUSDT,3.0,1.5,0.56,0,0.0,,0.0,0.0
ADAUSDT,4.0,1.5,0.36,16,0.5625,0.8614849164168058,-0.7959,-5.18
ADAUSDT,4.0,1.5,0.4,5,0.6,1.4267786362498704,0.3623,4.18
ADAUSDT,4.0,1.5,0.44,3,0.6667,8.750775457922092,2.3122,10.04
ADAUSDT,4.0,1.5,0.48,1,0.0,0.0,-0.4155,-0.8
ARBUSDT,1.5,1.0,0.36,2190,0.426,0.7650373099638408,-0.189,-535.06
ARBUSDT,1.5,1.0,0.4,2049,0.43,0.7641504898319679,-0.194,-500.85
ARBUSDT,1.5,1.0,0.44,737,0.4396,0.6857374605046204,-0.2725,-272.53
ARBUSDT,1.5,1.0,0.48,216,0.412,0.39537710877234217,-0.807,-268.67
ARBUSDT,1.5,1.0,0.52,83,0.4337,0.32690028249523156,-1.4498,-165.88
ARBUSDT,1.5,1.0,0.56,29,0.5172,0.5723954853113415,-0.7945,-29.65
ARBUSDT,2.0,1.0,0.36,793,0.4149,0.7264554565174575,-0.2439,-273.95
ARBUSDT,2.0,1.0,0.4,207,0.4541,0.6334395178796682,-0.4914,-144.83
ARBUSDT,2.0,1.0,0.44,89,0.4382,0.36365824006721315,-1.3309,-171.53
ARBUSDT,2.0,1.0,0.48,25,0.44,0.3722162586986407,-1.2592,-53.71
ARBUSDT,2.0,1.0,0.52,9,0.3333,0.16747171592463794,-2.366,-57.44
ARBUSDT,2.0,1.0,0.56,3,0.3333,1.4105475191982142,0.079,0.87
ARBUSDT,2.0,1.5,0.36,1291,0.4423,0.792268329370074,-0.2235,-376.05
ARBUSDT,2.0,1.5,0.4,1156,0.4325,0.7729639196134542,-0.2404,-367.44
ARBUSDT,2.0,1.5,0.44,690,0.4812,0.7120759838341311,-0.338,-301.32
ARBUSDT,2.0,1.5,0.48,207,0.4976,0.5510924863932778,-0.7482,-216.26
ARBUSDT,2.0,1.5,0.52,62,0.5323,0.4449790206650208,-1.5165,-116.63
ARBUSDT,2.0,1.5,0.56,9,0.6667,0.5094973687592264,-0.645,-17.18
ARBUSDT,2.5,1.0,0.36,705,0.3872,0.8345478157429441,-0.1866,-158.09
ARBUSDT,2.5,1.0,0.4,191,0.4188,0.6588188886717409,-0.4935,-135.01
ARBUSDT,2.5,1.0,0.44,83,0.4217,0.47298516012278236,-1.2121,-137.49
ARBUSDT,2.5,1.0,0.48,24,0.4167,0.44413652332026443,-1.1788,-47.48
ARBUSDT,2.5,1.0,0.52,9,0.3333,0.21612936389979295,-2.1995,-54.08
ARBUSDT,2.5,1.0,0.56,3,0.3333,1.823790807822132,0.2455,1.74
ARBUSDT,3.0,1.0,0.36,26,0.5,0.5759606094872601,-1.3502,-42.91
ARBUSDT,3.0,1.0,0.4,10,0.4,0.3054393260043637,-1.4232,-31.63
ARBUSDT,3.0,1.0,0.44,6,0.3333,1.1907134754272226,0.0417,1.09
ARBUSDT,3.0,1.0,0.48,4,0.25,0.629873514810913,-0.2191,-1.99
ARBUSDT,3.0,1.0,0.52,0,0.0,,0.0,0.0
ARBUSDT,3.0,1.5,0.36,182,0.5275,0.8858053409924708,-0.2422,-41.76
ARBUSDT,3.0,1.5,0.4,70,0.5286,0.5786087708351386,-1.1983,-100.77
ARBUSDT,3.0,1.5,0.44,24,0.75,0.7324981086926239,-1.1127,-27.03
ARBUSDT,3.0,1.5,0.48,10,0.3,0.054477836333548815,-10.7389,-190.71
ARBUSDT,3.0,1.5,0.52,3,0.3333,0.03193179644773711,-16.5427,-75.08
