tp_atr,sl_atr,conf_floor,trades,exp_weighted,pf_mean
2.0,1.5,0.4,40524,-0.30326857142857144,0.7492050781840195
2.0,1.5,0.36,43801,-0.30627714285714286,0.7481301955976409
1.5,1.0,0.36,72810,-0.3174828571428572,0.6606961662055524
1.5,1.0,0.4,67815,-0.3220228571428571,0.6563389179498468
2.5,1.0,0.36,25913,-0.35305142857142857,0.692353702343278
2.0,1.5,0.44,24639,-0.3539514285714286,0.7024592232351203
2.0,1.0,0.36,29915,-0.37288571428571426,0.6443820190731511
1.5,1.0,0.44,26589,-0.45152857142857145,0.5613557516477157
3.0,1.0,0.56,17,-0.5063700000000001,0.7504487054046332
3.0,1.0,0.48,208,-0.5172633333333334,10.282973047912972
3.0,1.5,0.36,8912,-0.5233058823529412,0.7052011629612767
2.0,1.5,0.48,9479,-0.6446057142857142,0.5625311772391334
2.0,1.0,0.4,10308,-0.6728228571428572,0.5084725283962132
4.0,1.5,0.56,19,-0.6800999999999999,1.2386586084472135
2.5,1.0,0.4,9382,-0.69212,0.5413610034618067
1.5,1.0,0.48,9857,-0.8116514285714286,0.41992440335140246
4.0,1.5,0.52,62,-0.8701294117647058,1.0778472070603426
3.0,1.5,0.4,3646,-1.0408085714285715,0.5934832688624344
2.0,1.5,0.52,3825,-1.2701657142857141,0.4560380113298637
2.0,1.0,0.44,4349,-1.31084,0.3907558664297922
2.5,1.0,0.44,3971,-1.3330628571428573,0.43321410027850354
1.5,1.0,0.52,4253,-1.502697142857143,0.3159873207647147
3.0,1.0,0.36,1940,-1.9103617647058821,0.477821110738734
3.0,1.0,0.52,72,-1.924061111111111,12.140817832847452
4.0,1.5,0.36,1632,-2.012242424242424,0.5195663341870018
3.0,1.5,0.56,213,-2.0610833333333334,1.362516112254963
4.0,1.5,0.48,171,-2.158775,0.3476739486951014
2.0,1.0,0.48,2070,-2.170494117647059,0.46220099176586277
2.5,1.0,0.48,1899,-2.1814441176470587,0.4504814507888881
3.0,1.5,0.44,1717,-2.229941176470588,0.5534244869818512
3.0,1.0,0.44,432,-2.531777142857143,1.4555201697880118
1.5,1.0,0.56,2144,-2.648739393939394,0.3467610847185766
2.5,1.0,0.56,410,-2.7017529411764705,2.4353262686225507
2.0,1.5,0.56,1664,-2.727254285714286,0.40131545415055564
2.0,1.0,0.56,441,-2.736179411764706,2.1734925450145757
2.5,1.0,0.52,1021,-3.193109375,0.5991323894575362
2.0,1.0,0.52,1082,-3.228475,0.5016397071416046
4.0,1.5,0.44,344,-3.8289882352941174,1.7700575640314913
4.0,1.5,0.4,684,-4.4415764705882355,0.45922660112229163
3.0,1.0,0.4,926,-4.486996969696969,0.41225246228009055
3.0,1.5,0.48,847,-4.89300294117647,0.4474166790832397
3.0,1.5,0.52,425,-6.152338235294117,0.8997569902203835
